Name,Author,Hash,Magnet
Hoffman Tactical Creator Pack,fromthesea,AC31C7121A912035A9ECD9541394AF4F3C294051,magnet:?xt=urn:btih:AC31C7121A912035A9ECD9541394AF4F3C294051&dn=Hoffman%20Tactical%20Creator%20Pack
FGC-9 MkI - JStark1809,DeterrenceDispensed,6F8A6FA7EFE5AB7B04047BD22BF0C2AD2AAD9F47,magnet:?xt=urn:btih:6F8A6FA7EFE5AB7B04047BD22BF0C2AD2AAD9F47&dn=FGC-9%20MkI%20-%20JStark1809
Ivans 100% DIY 30rd AR-15 Magazine V1.0 - Deterrence Dispensed,DeterrenceDispensed,F40DADF9FD4D4443B48D9AC0BD5C5068661E3A68,magnet:?xt=urn:btih:F40DADF9FD4D4443B48D9AC0BD5C5068661E3A68&dn=Ivans%20100%25%20DIY%2030rd%20AR-15%20Magazine%20V1%2E0%20-%20Deterrence%20Dispensed
Glock 17 Gen3 3D-Printed Frame V1.0 - Deterrence Dispensed,DeterrenceDispensed,4ECF01B9DADEF7887F8544BFBC05C7339A8D5761,magnet:?xt=urn:btih:4ECF01B9DADEF7887F8544BFBC05C7339A8D5761&dn=Glock%2017%20Gen3%203D-Printed%20Frame%20V1%2E0%20-%20Deterrence%20Dispensed
AR-15 3D CAD Model and Blueprints V1.1 - Deterrence Dispensed,DeterrenceDispensed,B494F8E2ACB6FBE08E4D1EB4C8E61A84CE39378E,magnet:?xt=urn:btih:B494F8E2ACB6FBE08E4D1EB4C8E61A84CE39378E&dn=AR-15%203D%20CAD%20Model%20and%20Blueprints%20V1%2E1%20-%20Deterrence%20Dispensed
Free Mans 9mm GB-10 Pistol by Freemendontask,auxchar,11F1F533CE3EBABA01C130AA9A9CCE459527FC35,magnet:?xt=urn:btih:11F1F533CE3EBABA01C130AA9A9CCE459527FC35&dn=Free%20Mans%209mm%20GB-10%20Pistol%20by%20Freemendontask
"3D Print Bump Fire Gadgets for AR-15, AK-47, Saiga-12, BMF",3D_Bump,7A85642DE87189AAFDF1B4CA071C7F9835C54210,magnet:?xt=urn:btih:7A85642DE87189AAFDF1B4CA071C7F9835C54210&dn=3D%20Print%20Bump%20Fire%20Gadgets%20for%20AR-15%2C%20AK-47%2C%20Saiga-12%2C%20BMF
FMDA DD17.2 Glock Complete Build Tutorial.mp4,fossgat,51B73E28F3CB987BD5755BDAE0F3413BE0D54359,magnet:?xt=urn:btih:51B73E28F3CB987BD5755BDAE0F3413BE0D54359&dn=FMDA%20DD17%2E2%20Glock%20Complete%20Build%20Tutorial%2Emp4
FNX940 v1.0,fossgat,7EE6B2766FE9FADD750F56E906ABAB824DCA4926,magnet:?xt=urn:btih:7EE6B2766FE9FADD750F56E906ABAB824DCA4926&dn=FNX940%20v1%2E0
AR-9 Super Lower V1.2,fossgat,F9C4B837A443C0F5B72A761B651A605D7B21DAE6,magnet:?xt=urn:btih:F9C4B837A443C0F5B72A761B651A605D7B21DAE6&dn=AR-9%20Super%20Lower%20V1%2E2
TheBigMac,fossgat,8EE4E550DAE51798A5EA81408EBB6F89AE2B5FAF,magnet:?xt=urn:btih:8EE4E550DAE51798A5EA81408EBB6F89AE2B5FAF&dn=TheBigMac
SL-15 V4.8.A,fossgat,2D5E085C2A498A3A2E747FFF7CFF665613F276EF,magnet:?xt=urn:btih:2D5E085C2A498A3A2E747FFF7CFF665613F276EF&dn=SL-15%20V4%2E8%2EA
AWCY E43-48-48x Full Release,fossgat,CE82C6A1D452795537EC2714A014845BED91FDF1,magnet:?xt=urn:btih:CE82C6A1D452795537EC2714A014845BED91FDF1&dn=AWCY%20E43-48-48x%20Full%20Release
SF5 Package,fossgat,CC634FDEC3835D12FCACAD064A0EBF355C95D455,magnet:?xt=urn:btih:CC634FDEC3835D12FCACAD064A0EBF355C95D455&dn=SF5%20Package
The MP by Wunder9,fossgat,02FDEF6BC34E7EDFD5FA1D0017BB41B59C8418F9,magnet:?xt=urn:btih:02FDEF6BC34E7EDFD5FA1D0017BB41B59C8418F9&dn=The%20MP%20by%20Wunder9
Orca V5.3 Detailed Assembly Video.mp4,fossgat,301A2E1BD29357157CB8EB4A3BDD9BC89A725092,magnet:?xt=urn:btih:301A2E1BD29357157CB8EB4A3BDD9BC89A725092&dn=Orca%20V5%2E3%20Detailed%20Assembly%20Video%2Emp4
UBAR2 Rev6,fossgat,1AD88CC77A0D7ACA383C77AA017E4621BD1A8787,magnet:?xt=urn:btih:1AD88CC77A0D7ACA383C77AA017E4621BD1A8787&dn=UBAR2%20Rev6
Tec9,fossgat,B2CED9EBBB63F8E596A24A8B500B75A3A2EFF20F,magnet:?xt=urn:btih:B2CED9EBBB63F8E596A24A8B500B75A3A2EFF20F&dn=Tec9
Orca V5.3,fossgat,2CB9A120DF10CC71B9EC2A89BCE5312FFE2F0595,magnet:?xt=urn:btih:2CB9A120DF10CC71B9EC2A89BCE5312FFE2F0595&dn=Orca%20V5%2E3
AR-15 Super Lower V3.1,fossgat,EA9DA5B636B0C2E9579901EDC39135522752A6CB,magnet:?xt=urn:btih:EA9DA5B636B0C2E9579901EDC39135522752A6CB&dn=AR-15%20Super%20Lower%20V3%2E1
Chimera V1.4.2022,fossgat,3CDF705C3902A3044D6EB9DF74099B7EC83D0A3E,magnet:?xt=urn:btih:3CDF705C3902A3044D6EB9DF74099B7EC83D0A3E&dn=Chimera%20V1%2E4%2E2022
FMDA DD17.2 Rev5,fossgat,4A42817758DF86A4B768C1085FDEAF458C754222,magnet:?xt=urn:btih:4A42817758DF86A4B768C1085FDEAF458C754222&dn=FMDA%20DD17%2E2%20Rev5
Orca Upgrades V5.3.D Fix B,fossgat,BF33187C65C7EB0B58F0DD6AEFB2057D703B34C6,magnet:?xt=urn:btih:BF33187C65C7EB0B58F0DD6AEFB2057D703B34C6&dn=Orca%20Upgrades%20V5%2E3%2ED%20Fix%20B
FGC-9 MkII Rev5,fossgat,643B1655F1122EAF609BE5DD1551FA2D5EEE4E3C,magnet:?xt=urn:btih:643B1655F1122EAF609BE5DD1551FA2D5EEE4E3C&dn=FGC-9%20MkII%20Rev5
PPX4 Rev2,fossgat,004A2D069B3F430A9799ECF1BE11A3E604701E1F,magnet:?xt=urn:btih:004A2D069B3F430A9799ECF1BE11A3E604701E1F&dn=PPX4%20Rev2
HD22,fossgat,2655D9CA04AD88DF8A5AFA94807EE75032AC9280,magnet:?xt=urn:btih:2655D9CA04AD88DF8A5AFA94807EE75032AC9280&dn=HD22
Big-Point,fossgat,CBF8F6E08DFF278AD8D4B42877E7A0B623392080,magnet:?xt=urn:btih:CBF8F6E08DFF278AD8D4B42877E7A0B623392080&dn=Big-Point
Hoffman Tactical LR-308 V2.6,fossgat,B8B24C06CD4E9BE83E6B0D3DC72D871C3D6439DB,magnet:?xt=urn:btih:B8B24C06CD4E9BE83E6B0D3DC72D871C3D6439DB&dn=Hoffman%20Tactical%20LR-308%20V2%2E6
Amigo Grande Release Rev6,fossgat,C19FE06D84BF27D383CD8445D3A84A252384D87E,magnet:?xt=urn:btih:C19FE06D84BF27D383CD8445D3A84A252384D87E&dn=Amigo%20Grande%20Release%20Rev6
Hoffman Tactical AR-15 Double Ribbed Super Lower,fossgat,AD3F10C852B38A405B8D9311AB93F9D7269D10E9,magnet:?xt=urn:btih:AD3F10C852B38A405B8D9311AB93F9D7269D10E9&dn=Hoffman%20Tactical%20AR-15%20Double%20Ribbed%20Super%20Lower
CHAIRMANWON V2 GIGAPACK DEC2021 UPDATE,fossgat,2933080CF8CE17718B56CC93C0A13448B4682B4E,magnet:?xt=urn:btih:2933080CF8CE17718B56CC93C0A13448B4682B4E&dn=CHAIRMANWON%20V2%20GIGAPACK%20DEC2021%20UPDATE
g22 grizzly,fossgat,0578E93BC0F3A8870B16B07B277AE36596A729FA,magnet:?xt=urn:btih:0578E93BC0F3A8870B16B07B277AE36596A729FA&dn=g22%20grizzly
Super Safety V4.4,fossgat,37B78D35F20CE606EF4A782551095E128FCA41BE,magnet:?xt=urn:btih:37B78D35F20CE606EF4A782551095E128FCA41BE&dn=Super%20Safety%20V4%2E4
SW40 Cobra 40,fossgat,E363CA2BE872573CA1B3E1718F3C5988F4EF894A,magnet:?xt=urn:btih:E363CA2BE872573CA1B3E1718F3C5988F4EF894A&dn=SW40%20Cobra%2040
Stingray FGC-9 MKII Rev2,fossgat,32C93D4DE060D2ACD1F4BC786E0150F7333E1E4B,magnet:?xt=urn:btih:32C93D4DE060D2ACD1F4BC786E0150F7333E1E4B&dn=Stingray%20FGC-9%20MKII%20Rev2
lopoint v2 by freeman1337,fossgat,C95FFB90E1CC04759EA1E26245085CB8076996E8,magnet:?xt=urn:btih:C95FFB90E1CC04759EA1E26245085CB8076996E8&dn=lopoint%20v2%20by%20freeman1337
Orca Upgrades V5.3.B,fossgat,9C1A5B6B6D695A119A2715A39F904B2563B6DAD1,magnet:?xt=urn:btih:9C1A5B6B6D695A119A2715A39F904B2563B6DAD1&dn=Orca%20Upgrades%20V5%2E3%2EB
FMDA DD19.2 Rev3,fossgat,62BDDA243CF026DA2F4F3A9471AFF7696B2255F2,magnet:?xt=urn:btih:62BDDA243CF026DA2F4F3A9471AFF7696B2255F2&dn=FMDA%20DD19%2E2%20Rev3
SL-15 Assembly Video,fossgat,06EA0A63308C1E8F8AF2408BD99C39F226D25BF2,magnet:?xt=urn:btih:06EA0A63308C1E8F8AF2408BD99C39F226D25BF2&dn=SL-15%20Assembly%20Video
Plastikov v3.0,fossgat,FB16CD36C9FB6D84566A6EE38C01A67F1C0E4A80,magnet:?xt=urn:btih:FB16CD36C9FB6D84566A6EE38C01A67F1C0E4A80&dn=Plastikov%20v3%2E0
